"Field Label","Field API Name","sObject","Description","Field Type","Formula","How the field is populated"
"Exchange Rate at Creation","Exchange_Rate_at_Creation__c","Quote","Frozen exchange rate when quote was created to maintain currency consistency","Number(16,6)","","Flow E + ExchangeRateManager"
"Order Start Date","Order_Start_Date__c","Quote","Order start date for service delivery and billing calculations","Date","","Flow E from Contract_Start_Date__c"
"Order End Date","Order_End_Date__c","Quote","Order end date for service delivery and billing calculations","Date","","Flow E from Contract_End_Date__c"
"Term Length (Months)","Term_Length_Months__c","Quote","Enhanced: Increased precision to support decimal months for accurate billing calculations","Number(3,1)","","Flow E calculation"
"Ready for Sync","Ready_for_Sync__c","Quote","Controls when this quote can sync back to opportunity","Checkbox","","User controlled"
"Auto-Create Line Items from Opportunity","Auto_Create_Line_Items__c","Quote","Trigger flag for flow to create quote line items from opportunity products","Checkbox","","User controlled"
"First Payment Due","First_Payment_Due__c","Quote","Annual total divided by billing frequency plus one-off charges","Currency(18,2)","CASE(TEXT(Opportunity.Contract_Billing_Frequency__c), ""Monthly"", (Annual_Total__c / 12) + One_Off_Charges__c, ""Quarterly"", (Annual_Total__c / 4) + One_Off_Charges__c, ""Semi-Annual"", (Annual_Total__c / 2) + One_Off_Charges__c, ""Annually"", Annual_Total__c + One_Off_Charges__c, ""One-time"", One_Off_Charges__c, Annual_Total__c + One_Off_Charges__c)","Auto-calculated formula"
"Total (Converted Currency)","Converted_Currency_Total__c","Quote","Quote total converted to corporate currency using frozen exchange rate","Currency(18,2)","Total_Payment_Due__c * Exchange_Rate_at_Creation__c","Auto-calculated formula"
"Annual Total","Annual_Total__c","Quote","Calculated by automation based on QuoteLineItem data with Software Subscriptions Product Family","Currency(18,2)","","Flow B calculated"
"One-Off Charges","One_Off_Charges__c","Quote","Calculated by automation based on QuoteLineItem data with non-subscription Product Family","Currency(18,2)","","Flow B calculated"
"Total Payment Due","Total_Payment_Due__c","Quote","Calculated by automation based on sum of all QuoteLineItem TotalPrice values","Currency(18,2)","","Flow B calculated"
"Status","Status","Quote","Standard quote status","Picklist","","Standard Salesforce"
"Currency ISO Code","CurrencyIsoCode","Quote","Standard Salesforce currency field","Picklist","","Standard Salesforce"
"Account ID","AccountId","Quote","Standard account lookup","Lookup(Account)","","Standard Salesforce"
"Contact ID","ContactId","Quote","Standard contact lookup","Lookup(Contact)","","Standard Salesforce"
"Opportunity ID","OpportunityId","Quote","Standard opportunity lookup","Lookup(Opportunity)","","Standard Salesforce"
"Name","Name","Quote","Standard quote name","Text","","Standard Salesforce"
"Total Price","TotalPrice","Quote","Standard total price","Currency","","Standard Salesforce"
"Description","Description","Quote","Standard description","LongTextArea","","User entered"
"Grand Total","GrandTotal","Quote","Standard grand total","Currency","","Standard Salesforce"
"Line Item Count","LineItemCount","Quote","Standard line item count","Number","","Standard Salesforce"
"Annual Amount","Annual_Amount__c","QuoteLineItem","Annualized amount pulled from related Opportunity Line Item","Currency(16,2)","","Flow D from OLI.TotalPrice"
"Total Price","Total_Price__c","QuoteLineItem","Calculated prorated billing amount for subscription products (replaces standard TotalPrice for subscriptions)","Currency(16,2)","","Trigger handler calculated"
"Service Start Date","Service_Start_Date__c","QuoteLineItem","Individual line item start date (overrides quote-level date)","Date","","User entered"
"Service End Date","Service_End_Date__c","QuoteLineItem","Individual line item end date (overrides quote-level date)","Date","","User entered"
"Effective Start Date","Effective_Start_Date__c","QuoteLineItem","3-level hierarchy: QLI Service Date → Quote Order Date → Opportunity Contract Date","Date","IF(NOT(ISBLANK(Service_Start_Date__c)), Service_Start_Date__c, IF(NOT(ISBLANK(Quote.Order_Start_Date__c)), Quote.Order_Start_Date__c, Quote.Opportunity.Contract_Start_Date__c))","Auto-calculated hierarchy formula"
"Effective End Date","Effective_End_Date__c","QuoteLineItem","3-level hierarchy: QLI Service Date → Quote Order Date → Opportunity Contract Date","Date","IF(NOT(ISBLANK(Service_End_Date__c)), Service_End_Date__c, IF(NOT(ISBLANK(Quote.Order_End_Date__c)), Quote.Order_End_Date__c, Quote.Opportunity.Contract_End_Date__c))","Auto-calculated hierarchy formula"
