"Component Type","Component Label","Component API Name","Object","Trigger Type","Status","Description","Reference in Original Doc"
"Flow","Quote Before Save | Stamp Fields","Quote_Before_Save_Stamp_Fields","Quote","RecordBeforeSave (Create)","Active","Enhances quotes with exchange rate freezing, date inheritance from Opportunity, and term length calculation. Core flow for Quote data preparation.","Flow E"
"Flow","Quote Line Item After Save | Calculate Rollup Fields","Quote_Line_Item_After_Save_Calculate_Rollup_Fields","QuoteLineItem","RecordAfterSave (Create/Update/Delete)","Active","Calculates real-time rollups on Quote object: Annual_Total__c, One_Off_Charges__c, Total_Payment_Due__c. Uses collection-based bulk processing.","Flow B"
"Flow","Quote After Save | Create Line Items from Opportunity","Quote_After_Save_Create_Line_Items_from_Opportunity","Quote","RecordAfterSave (Create/Update)","Active","Creates QuoteLineItems from OpportunityLineItems when Auto_Create_Line_Items__c = True. Maps Annual_Amount__c from OLI.TotalPrice.","Flow D"
"Flow","Quote After Save | Sync Approved Quote","Quote_After_Save_Sync_Approved_Quote","Quote","RecordAfterSave (Create/Update)","Draft","Complete QLI → OLI sync when Ready_for_Sync__c = True. Deletes existing OLIs, creates new with dual amount architecture.","Flow F"
"Flow","Quote After Saved | Sync Approved Quote","Quote_After_Saved_Sync_Approved_Quote","Quote","RecordAfterSave (Create/Update)","Obsolete","Legacy sync flow - replaced by Quote_After_Save_Sync_Approved_Quote","N/A"
"Flow","QuoteLineItem Calculate Billing Amount","QuoteLineItem_Calculate_Billing_Amount","QuoteLineItem","RecordBeforeSave (Create/Update)","InvalidDraft","Prototype flow for billing calculations - replaced by Apex trigger","N/A"
"Flow","Quote Create Line Items from Opportunity","Quote_Create_Line_Items_from_Opportunity","Quote","RecordAfterSave (Create/Update)","Draft","Duplicate/test version of line item creation flow","N/A"
"Flow","Quote After Save | Notify Owner on Rejected Quote","Quote_After_Save_Notify_Owner_on_Rejected_Quote","Quote","RecordAfterSave (Create/Update)","Active","Sends notification to quote owner when quote is rejected","N/A"
"Flow","Quote Submit for Approval","Quote_Submit_for_Approval","Quote","RecordAfterSave (Update)","Active","Handles quote approval process automation","N/A"
"Flow","Quote Name Stamp","Quote_Name_Stamp","Quote","RecordBeforeSave (Create)","Active","Automatically sets quote name using naming convention","N/A"
"Flow","Check ProductsAdded field","Check_ProductsAdded_field","OpportunityLineItem","RecordAfterSave (Create)","Active","Updates Opportunity.ProductsAdded__c when OLI is created","N/A"
